Code, Name
BLBUWA,    Blackburnian Warbler
YETHWA,    Yellow-throated Warbler
GRAWAR,    Grace's Warbler
PINWAR,    Pine Warbler
KIRWAR,    Kirtland's Warbler
PRAWAR,    Prairie Warbler
PALMWA,    Palm Warbler
BABRWA,    Bay-breasted Warbler
BLPOWA,    Blackpoll Warbler
CERWAR,    Cerulean Warbler
BAWHWA,    Black-and-white Warbler
AMERED,    American Redstart
PROWAR,    Prothonotary Warbler
WOEAWA,    Worm-eating Warbler
SWAWAR,    Swainson's Warbler
OVENBI,    Ovenbird
NORWAT,    Northern Waterthrush
LOUWAT,    Louisiana Waterthrush
KENWAR,    Kentucky Warbler
CONWAR,    Connecticut Warbler
MOUWAR,    Mourning Warbler
MACWAR,    MacGillivray's Warbler
COMYEL,    Common Yellowthroat
GRCRYE,    Gray-crowned Yellowthroat
HOOWAR,    Hooded Warbler
WILSWA,    Wilson's Warbler
CANWAR,    Canada Warbler
REFAWA,    Red-faced Warbler
PAIRED,    Painted Redstart
SLTHRE,    Slate-throated Redstart
FATAWA,    Fan-tailed Warbler
GOCRWA,    Golden-crowned Warbler
RUCAWA,    Rufous-capped Warbler
YEBRCH,    Yellow-breasted Chat
BANANA,    Bananaquit
HEPTAN,    Hepatic Tanager
SUMTAN,    Summer Tanager
SCATAN,    Scarlet Tanager
WESTAN,    Western Tanager
FLCOTA,    Flame-colored Tanager
WESSPI,    Western Spindalis
WHCOSE,    White-collared Seedeater
YEFAGR,    Yellow-faced Grassquit
BLFAGR,    Black-faced Grassquit
OLISPA,    Olive Sparrow
GRTATO,    Green-tailed Towhee
SPOTOW,    Spotted Towhee
EASTOW,    Eastern Towhee
RUCRSP,    Rufous-crowned Sparrow
CANTOW,    Canyon Towhee
CALTOW,    California Towhee
ABETOW,    Abert's Towhee
RUWISP,    Rufous-winged Sparrow
BOTSPA,    Botteri's Sparrow
CASSPA,    Cassin's Sparrow
BACSPA,    Bachman's Sparrow
AMTRSP,    American Tree Sparrow
CHISPA,    Chipping Sparrow
CLCOSP,    Clay-colored Sparrow
BRESPA,    Brewer's Sparrow
FIESPA,    Field Sparrow
WORSPA,    Worthen's Sparrow
BLCHSP,    Black-chinned Sparrow
VESSPA,    Vesper Sparrow
LARSPA,    Lark Sparrow
FISTSP,    Five-striped Sparrow
BLTHSP,    Black-throated Sparrow
SAGSPA,    Sage Sparrow
LARBUN,    Lark Bunting
SAVSPA,    Savannah Sparrow
GRASPA,    Grasshopper Sparrow
BAISPA,    Baird's Sparrow
HENSPA,    Henslow's Sparrow
LECOSP,    Le Conte's Sparrow
NELSPA,    Nelson's Sparrow
SALSPA,    Saltmarsh Sparrow
SEASPA,    Seaside Sparrow
FOXSPA,    Fox Sparrow
SONSPA,    Song Sparrow
LINSPA,    Lincoln's Sparrow
SWASPA,    Swamp Sparrow
WHTHSP,    White-throated Sparrow
HARSPA,    Harris's Sparrow
WHCRSP,    White-crowned Sparrow
GOCRSP,    Golden-crowned Sparrow
DAEYJU,    Dark-eyed Junco
YEEYJU,    Yellow-eyed Junco
PINBUN,    Pine Bunting
LITBUN,    Little Bunting
YBROBU,    Yellow-browed Bunting
RUSBUN,    Rustic Bunting
YETHBU,    Yellow-throated Bunting
YBREBU,    Yellow-breasted Bunting
GRABUN,    Gray Bunting
PALBUN,    Pallas's Bunting
REEBUN,    Reed Bunting
CRCOGR,    Crimson-collared Grosbeak
NORCAR,    Northern Cardinal
PYRRHU,    Pyrrhuloxia
YELGRO,    Yellow Grosbeak
ROBRGR,    Rose-breasted Grosbeak
BLHEGR,    Black-headed Grosbeak
BLUBUN,    Blue Bunting
BLUGRO,    Blue Grosbeak
LAZBUN,    Lazuli Bunting
INDBUN,    Indigo Bunting
VARBUN,    Varied Bunting
PAIBUN,    Painted Bunting
DICKCI,    Dickcissel
BOBOLI,    Bobolink
REWIBL,    Red-winged Blackbird
TRIBLA,    Tricolored Blackbird
TASHBL,    Tawny-shouldered Blackbird
EASMEA,    Eastern Meadowlark
WESMEA,    Western Meadowlark
YEHEBL,    Yellow-headed Blackbird
RUSBLA,    Rusty Blackbird
BREBLA,    Brewer's Blackbird
COMGRA,    Common Grackle
BOTAGR,    Boat-tailed Grackle
GRTAGR,    Great-tailed Grackle
SHICOW,    Shiny Cowbird
BROCOW,    Bronzed Cowbird
BRHECO,    Brown-headed Cowbird
BLVEOR,    Black-vented Oriole
ORCORI,    Orchard Oriole
HOOORI,    Hooded Oriole
STBAOR,    Streak-backed Oriole
BULORI,    Bullock's Oriole
SPBROR,    Spot-breasted Oriole
ALTORI,    Altamira Oriole
AUDORI,    Audubon's Oriole
BALORI,    Baltimore Oriole
SCOORI,    Scott's Oriole
COMCHA,    Common Chaffinch
BRAMBL,    Brambling
GCROFI,    Gray-crowned Rosy-Finch
BLROFI,    Black Rosy-Finch
BCROFI,    Brown-capped Rosy-Finch
PINGRO,    Pine Grosbeak
COMROS,    Common Rosefinch
PURFIN,    Purple Finch
CASFIN,    Cassin's Finch
HOUFIN,    House Finch
REDCRO,    Red Crossbill
WHWICR,    White-winged Crossbill
COREDP,    Common Redpoll
HOARED,    Hoary Redpoll
EURSIS,    Eurasian Siskin
PINSIS,    Pine Siskin
LESGOL,    Lesser Goldfinch
LAWGOL,    Lawrence's Goldfinch
AMEGOL,    American Goldfinch
ORIGRE,    Oriental Greenfinch
EURBUL,    Eurasian Bullfinch
EVEGRO,    Evening Grosbeak
HAWFIN,    Hawfinch
HOUSPA,    House Sparrow
EUTRSP,    Eurasian Tree Sparrow
